"Source:","C:\Users\56932\Documents\KiCad\PCB_Hbridge_v2\PCB_Hbridge\PCB_Hbridge.kicad_sch"
"Date:","01-02-2023 16:41:28"
"Tool:","Eeschema (6.0.10)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","104"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","AVAILABILITY","DESCRIPTION","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MF","MP","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Path Number","Mouser Price/Stock","PACKAGE","PARTREV","PRICE","STANDARD"
"9","2","IC5, IC6","AP7366-W5-7","PCB_Hbridge:AP7366-W5-7","PCB_Hbridge:SOT95P285X140-5N","","","","LDO Voltage Regulators LDO CMOS HiCurr SOT25 T&R 3K","1.4","","","","","Diodes Inc.","AP7366-W5-7","621-AP7366-W5-7","","https://www.mouser.co.uk/ProductDetail/Diodes-Incorporated/AP7366-W5-7?qs=u16ybLDytRYZFNORrKWMYA%3D%3D","","","",""
"10","2","IC7, IC8","MLX91221KDF-ABF-050-SP","PCB_Hbridge:MLX91221KDF-ABF-050-SP","PCB_Hbridge:SOIC127P1031X264-16N","https://eu.mouser.com/datasheet/2/734/Melexis_MLX91221_Datasheet_Melexis_1-1947405.pdf","","","Board Mount Current Sensors Gen2-InP-CurrentSensor-50AB.FSFixed-3.3V-4.8kVisolation-OCD","2.64","","","","","Melexis","MLX91221KDF-ABF-050-SP","482-91221KDFABF050SP","","https://www.mouser.co.uk/ProductDetail/Melexis/MLX91221KDF-ABF-050-SP?qs=81r%252BiQLm7BTHP3JPhEaSLQ%3D%3D","","","",""
"11","2","IC9, IC10","ACPL-790B-300E","PCB_Hbridge:ACPL-790B-300E","PCB_Hbridge:DIP762W65P254L980H470Q8N","","","","BROADCOM - ACPL-790B-300E - Optocoupler, Optically Isolated Amplifiers, 1 Channel, Surface Mount DIP, 8 Pins, 5000 Vrms","4.7","","","","","Avago Technologies","ACPL-790B-300E","630-ACPL-790B-300E","","https://www.mouser.co.uk/ProductDetail/Broadcom-Avago/ACPL-790B-300E?qs=jv7ULIbIBgMunF8oouTz%2FA%3D%3D","","","",""
"12","2","IC11, IC12","TL074CDT","PCB_Hbridge:TL074CDT","PCB_Hbridge:SOIC127P600X175-14N_TL074","http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00000489.pdf","","","OP Amp Quad GP +/- 18V SOIC14 STMicroelectronics TL074CDT Quad Operational Amplifier, 3MHz, 14-Pin SO","1.75","","","","","STMicroelectronics","TL074CDT","511-TL074CDT","","https://www.mouser.co.uk/ProductDetail/STMicroelectronics/TL074CDT?qs=MQjo3npP4sAhBVAvwSx1nw%3D%3D","","","",""
"13","4","J1, J2, J3, J4","SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-F-S","PCB_Hbridge:SQT-102-01-XX-S","http://suddendocs.samtec.com/prints/sqt-1xx-xx-xxx-x-xxx-xxx-mkt.pdf","","","2 Position,Cost Effective Rugged PCB Sockets, 2.00mm pitch","6.35","","","","","SAMTEC","SQT-102-01-F-S","200-SQT10201FS","","https://www.mouser.co.uk/ProductDetail/Samtec/SQT-102-01-F-S?qs=MUwhXXEU1Qsb9k68Fbb2cw%3D%3D","","","",""
"14","2","J5, J7","1594460000","PCB_Hbridge:1594460000","PCB_Hbridge:1594460000","http://catalog.weidmueller.com/createDatasheetForMobile.do?ordernumber=1594460000&scope1=1&scope2=1&localeId=en","","","Printed circuit board terminals, 7.62 mm, Number of poles: 2, 90, Solder pin length: 3.2 mm, tinned, orange, Clamping yoke connection, Clamping range, max. [rated connection]: 6 mm, Box","17","","","","","Weidmuller","1594460000","470-1594460000","","https://www.mouser.co.uk/ProductDetail/Weidmuller/1594460000?qs=BTG2th8YmhTgI1%252ByENLozQ%3D%3D","","","",""
"15","1","J6","TB002V-500-02BE","PCB_Hbridge:TB002V-500-02BE","PCB_Hbridge:TB002V50002BE","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets_SAMA/d44ec1123411816df787ccc2d696b161.pdf","","","Fixed Terminal Blocks Terminal block, screw type, 5.00 , vertical, 2 poles, CUI Blue, slotted screw, PCB mount","8","","","","","CUI Devices","TB002V-500-02BE","490-TB002V-500-02BE","","https://www.mouser.co.uk/ProductDetail/CUI-Devices/TB002V-500-02BE?qs=vLWxofP3U2wXHN2%2F5Sa7Iw%3D%3D","","","",""
"16","4","J8, J9, J10, J11","CONBNC002","PCB_Hbridge:CONBNC002","PCB_Hbridge:CONBNC002","https://linxtechnologies.com/wp/wp-content/uploads/conbnc002-ds.pdf","","","RF Connectors / Coaxial Connectors BNC Connector Right Angle Jack, Female Socket 50 Ohm, Through Hole","13.1","","","","","Linx Technologies","CONBNC002","712-CONBNC002","","https://www.mouser.co.uk/ProductDetail/Linx-Technologies/CONBNC002?qs=doiCPypUmgFbIbY%252BDq4BiQ%3D%3D","","","",""
"17","1","J12","M22-7130542","PCB_Hbridge:M22-7130542","PCB_Hbridge:RHDR5W50P0X200_1X5_1050X240X440P","https://cdn.harwin.com/pdfs/M22-713.pdf","","","2mm pitch, SIL vertical socket assembly, 5 position","4.4","","","","","Harwin","M22-7130542","855-M22-7130542","","https://www.mouser.co.uk/ProductDetail/Harwin/M22-7130542?qs=Jph8NoUxIfVEgwGbmzmPjA%3D%3D","","","",""
"18","1","L1","2.2mH","Device:L","Inductor_THT:L_Toroid_Horizontal_D69.1mm_P63.20mm_Vishay_TJ9","https://www.mouser.cl/datasheet/2/427/tj-1696164.pdf","","","VISHAY - TJ92UEB222L - Power Inductors - Leaded 2200uH 15%","","","","","","Vishay","TJ92UEB222L","","70-TJ92UEB222L","https://www.mouser.cl/ProductDetail/Vishay/TJ92UEB222L?qs=xZ%2FP%252Ba9zWqaX%2FODTtGMuhA%3D%3D","","","",""
"19","2","PS1, PS2","PDSE2-S24-S5-M","PCB_Hbridge:PDSE2-S24-S5-M","PCB_Hbridge:CONV_PDSE2-S24-S5-M","","","","","","CUI Devices","7.5mm","","","","","","","","","1.0","","Manufacturer Recommendations"
"20","2","R1, R4","56k","PCB_Hbridge:56k","PCB_Hbridge:RESC2012X60N_56k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"21","6","R2, R30, R31, R32, R48, R49","499k","PCB_Hbridge:499k","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"22","10","R3, R6, R33, R34, R35, R36, R44, R45, R46, R47","120k","PCB_Hbridge:120k","PCB_Hbridge:RESC2012X50N_120k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"23","1","R5","270k","PCB_Hbridge:270k","PCB_Hbridge:RESC2012X50N_270k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"24","2","R7, R10","10k",":10k_1","PCB_Hbridge:RESC2012X60N_10k","https://www.bourns.com/pdfs/chpreztr.pdf/","","","Bourns CR0805-FX Series Chip Resistors","0.6","","","","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-1002ELF?qs=tknLyCMIRbPr%252BDD0s0nG9g%3D%3D","","","",""
"25","2","R8, R11","10k","PCB_Hbridge:10k","PCB_Hbridge:RESC2012X60N_10k","https://www.bourns.com/pdfs/chpreztr.pdf/","","","Bourns CR0805-FX Series Chip Resistors","0.6","","","","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-1002ELF?qs=tknLyCMIRbPr%252BDD0s0nG9g%3D%3D","","","",""
"26","1","R9","10k","Device:R_Small","PCB_Hbridge:RESC2012X60N_10k","~","","","","","","","","","","","","","","","","",""
"27","8","R12, R13, R16, R17, R21, R22, R25, R26","2M",":2M_1","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"28","8","R14, R15, R18, R19, R23, R24, R27, R28","2M","PCB_Hbridge:2M","PCB_Hbridge:RESC6332X70N_2M","https://www.vishay.com/docs/20082/rcvat-e3.pdf","","","2 MOhms +/-1% 1W Chip Resistor 2512 (6432 Metric) Automotive AEC-Q200, High Voltage Thick Film","0.7","","","","","Vishay","RCV25122M00FKEGAT","71-RCV25122M00FKEGAT","","https://www.mouser.co.uk/ProductDetail/Vishay-Draloric/RCV25122M00FKEGAT?qs=DRkmTr78QAQ88fBO7RoMBw%3D%3D","","","",""
"29","2","R20, R29","2k","PCB_Hbridge:2k","PCB_Hbridge:RESC3216X65N_2k","","","","2 kOhms +/-5% 0.25W, 1/4W Chip Resistor 1206 (3216 Metric) Anti-Sulfur, Automotive AEC-Q200 Thick Film","0.65","","","","","ROHM Semiconductor","SFR18EZPJ202","","","","","","",""
"30","2","R37, R38","330k","PCB_Hbridge:330k","PCB_Hbridge:ERJUP3_330k","https://industrial.panasonic.com/cdbs/www-data/pdf/RDP0000/AOA0000C337.pdf","","","Anti-Sulfurated Thick Film Chip Resistors/ Anti-Surge Type, Power Rating (W): 0.25, Chip Size (LxW(EIA)) (mm): 1.6 x 0.8 (EIA:0603), Resistance Values (?): 330000, Resistance Tolerance (%): 1, T.C.R (?102/K): ?100","0.55","","","","","Panasonic","ERJ-UP3F3303V","667-ERJ-UP3F3303V","","https://www.mouser.co.uk/ProductDetail/Panasonic/ERJ-UP3F3303V?qs=GedFDFLaBXFkDfxcnOlPhw%3D%3D","","","",""
"31","5","R39, R40, R41, R42, R43","499k",":499k_1","PCB_Hbridge:RESC2012X60N_499k","https://www.bourns.com/pdfs/chpreztr.pdf","","","Thick Film Resistors - SMD 56K 1%","0.6","","","","","Bourns","CR0805-FX-5602ELF","652-CR0805FX-5602ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-5602ELF?qs=LA9FZBosJlDmfWlvGHkolA%3D%3D","","","",""
"32","1","R50","10k",":10k_2","PCB_Hbridge:RESC2012X60N_10k","https://www.bourns.com/pdfs/chpreztr.pdf/","","","Bourns CR0805-FX Series Chip Resistors","0.6","","","","","Bourns","CR0805-FX-1002ELF","652-CR0805FX-1002ELF","","https://www.mouser.co.uk/ProductDetail/Bourns/CR0805-FX-1002ELF?qs=tknLyCMIRbPr%252BDD0s0nG9g%3D%3D","","","",""
"33","1","U1","PEM2-S24-D12-S","PCB_Hbridge:PEM2-S24-D12-S","PCB_Hbridge:CONV_PEM2-S24-D12-S","","Bad","PEM2-S Series 2 W 12 Vin ±12 Vout Isolated DC-DC Converter","","","","","CUI","PEM2-S12-D12-S","","","","","","SIP-7 CUI","","7.03 USD",""
